user_id,address,balance_result
6159234053500107102,0x5245b5954a75c85c6c7c5f68e9db2477b626c385,62012
3115636868521984,0x1612248a020006e2dee5b06e14150fd562e0111e,66077
6413879968100104605,0xB01CeCC943E4016A227Baf781Ec1b8A06C919Ca1,70583
3106694763859968,0x8e6a1c36c40e8bfca37ecca5b96902e5d01bd037,61635
6159234287400107536,0xD249E4808deD7D034E758C6cFdFE4B7F36D50666,70335
6159234205900107386,0x13b72f35bf2f1210d84a1345c32b5ded4a8979a3,65387
163389128724480,0x82b001d6098ab6Bff5E1ef3B651D441BAcCfe2ef,66935
168227983958016,0x5b6BD39cE35A2ba94aFF55565b5c4a764179de51,65648
186376942567424,0x90d73B1E6d1815e5bca4A8e3Cd0A59467BDC6e1b,65079
172382673723392,0x333c4b621f79bdfed3a57fd9e9d69cc20678a31c,55934
171180299563008,0x5e88b6140ad3347b4c025d28e74a4c96dfc17d6f,59585
6440888951700104468,0xeDe41D250F88117e057fd3340Ca30857aD44f6F0,63601
158361994153984,0x7e7d882abb417918dee9e1be780f48cd65ff7a8a,59288
158276869763072,0xc66c23D2F15A7Be2b25D0514560848a58aeDBA94,63492
172423080374272,0x9d2313e0e07a703b051ef984fe0f0b455405944a,54546
6274815630900102034,0xd7a5ea9e8c52bfc1f78b50ad225331e1c9139f1e,57609
3106800959819776,0x1307ab404e65818318f9590ffd63ea8ff1720c8a,53200
086642012610560,0:7d8f4a457e93e07f2fb6fe5302ed1e0b2ccc8c38604871bb812370056e8cafed,61373
172436692316160,0xb073065f0199fd87865cddd3027b720dda1bf691,52525
6397757173100101890,0xbe8868e1071a61AbC3816D6627462CDC6008582E,61106
172426044542976,0x5f9cf8f84c13694f15d239e755ebc1c06b0b09fd,52053
160651854401536,0x78d70387e6c0d56c3acffe11a73d9e3165723106,56316
178811444998144,0xf32f0cb843b7e9a5383d2040314370b3c54cdef6,55767
086856433565696,0:c4f2b76d7efabdf6292c341e43c0a57845c6c350b249b2066d7bfbfafd99dde3,60200
086867786620928,0:d9070cbf6784338fea547ff3aad7570118088024f3d6b3d328e0580b20e1ff57,60154
6159235585400109976,0xF96feE6b24D03665Ff3A64Ec8D56120397f51Cc9,59718
6499588120600109453,0xb99082d8E11E8c619781CCaC6C80113F46334C75,59611
172785735139328,0x47a80ce840282366eab11cdd7da07ace38aadc14,50481
087313155063808,0x8365dEDB268E223Cb2F4004FC52280CeFEe34373,57845
158318037372928,0x60d4cdb08203d2215833f262a625f3a127423b9a,53236
172428469600256,0xcf5d0bfa17854c52a856dfef72eb2076a7acc978,47946
